;全体的に価格をeratohoAの3倍にしています。
0,ローター,3000,
1,Ｅマッサージャ,9000,
2,クリキャップ,3000,
3,オナホール,12000,
4,バイブ,4500,
5,アナルバイブ,4500,
6,アナルビーズ,4500,
7,空気ポンプ,6000,
8,拡張バルーン,6000,
9,浣腸器＋プラグ,6000,
10,ニプルキャップ,3000,
11,搾乳器,4500,
12,ペニスバンド,4500,
13,鞭,3000,
14,針,6000,
15,アイマスク,4500,
16,縄,3000,
17,ボールギャグ,3000,
18,ビデオカメラ,15000,
19,カメラ,9000,;写真撮影が可能になる。フィルムとセットで使用
20,プレイマット,6000,;お風呂場でプレイの幅が広がる
21,大鏡,15000,;羞恥プレイが可能になる
22,首輪,6000,;野外プレイが可能になる
23,エプロン,15000,;新妻プレイが可能になる
24,電極プラグ,15000,
25,触手使役術,30000,;触手調教が可能になる
26,コスプレセット,6000,;奴隷の衣装の幅を増やす
	;40～59番までは複数購入できる道具用の枠に
40,ローション,600,
41,媚薬,6000,
42,利尿剤,3000,
43,ビデオテープ,1500,;ビデオカメラの使用に必要。使い捨て
44,フィルム,900,;写真撮影で使用。使い捨て
45,コンドーム,300,;定番の避妊具、避妊には十分だが、使い捨て
46,低温蝋燭,6000,;蝋燭プレイに必要。素肌を傷つけない優れもの。ただし高い値段の割に使い捨て
47,強精神薬,3000,;コマンド「強精神薬」のために必要。
	;60番からは能力獲得のアイテムを
60,【汚れ無視】,30000,;プレイヤーにTALENT:汚れ無視がつく
61,【調合知識】,240000,;プレイヤーにTALENT:調合知識がつく
62,【禁断の知識】,240000,;プレイヤーにTALENT:禁断の知識がつく
;63,【第三の瞳】,240000,;プレイヤーにTALENT:覚りがつく
	;70番からは体質変化の薬等を。値段が高い他、ストレス値も増加するため基本的にリスクが高い
70,元気になる薬,3000,;体力を回復する
71,薬の材料(双),60000,;ふたなりにする
72,薬の材料(消),30000,;ふたなりを消去する
73,青いキャンディ,60000,;体が成長するキャンディ。母乳体質になる
74,赤いキャンディ,60000,;体が若返るキャンディ。処女膜が再生する
75,豊胸剤,60000,,;胸の大きさを1段階上げる。爆乳使用不可
76,縮胸剤,30000,,;胸の大きさを1段階下げる。絶壁使用不可
77,抑プロラクチン薬,15000,;母乳が出なくなる
78,３環系抗鬱薬,15000,;お漏らし癖が直る。
79,黄色のキャンディ,60000,;妊娠中に使うと産卵し、妊娠を失う。妊娠キャンセルが可能だが、ハイリスク
	;90番以降は何か特殊なアイテムの枠に
90,記憶消去薬,300000,;処女、ふたなり、母乳体質、経験、感覚の変化を残した状態で、残りのパラメータを全て初期化
91,排卵誘発剤,6000,;敢えて孕ませる場合に使う。
92,子宮内避妊具,6000,;子宮内に結界を張る高性能避妊具、快感も損なわないが一日しか持たず高い

100,ショウタ,8800
101,アイ,8800
102,マキ,8800
103,ゆかり,12800
104,ずん子,8800
105,茜,7900
106,葵,7900
107,コウ,8800
108,セイカ,8800
109,きりたん,8800
110,あかり,8800
111,イタコ,8800
112,そら,9000
113,ついな,9000

149,ささら,6480
150,つづみ,6480
151,タカハシ,6480
152,ＯＮＥ,8500
153,ＩＡ,8500

179,ギャラ子,17280
180,ウナ,11510
181,ヒメ,10000
182,ミコト,10000
;189,ゆかり穏,12800
;190,ゆかり凛,12800
