番号,90,
名前,結月 ゆかり 穏,
呼び名,ゆかり,
基礎,0,2000
基礎,1,1500
能力,1,1
能力,7,1
能力,8,1
能力,14,3
経験,63,5
経験,64,40
素質,0,
素質,13,
素質,25,
素質,33,
素質,36,
素質,42,
素質,70,
素質,81,
素質,109,
素質,145,
素質,160,
相性,3,150
相性,4,200
相性,5,120
相性,50,120
相性,54,150
相性,101,200
相性,102,200
;服装 0:なし
;特殊1 1:手袋 2:袖 3:羽衣 4:ナースキャップ 5:警官帽 6:ウサ耳バンド 7:パーカー
フラグ,40,7
;特殊2 11:靴下 12:ハイソックス 13:ニーソックス 14:ガーターストッキング 15:パンティストッキング 16:足袋
フラグ,41,12
;下半身下着 21:ドロワーズ 22:パンティ 23:褌 24:トランクス 25:ブリーフ
フラグ,42,22
;上半身下着 31:ブラジャー 32:スポーツブラ 33:さらし
フラグ,43,0
;下半身上着 41:スカート 42:キュロット 43:もんぺ 44:ズボン 45:ブルマ 46:ビキニパンツ
フラグ,44,0
;上半身上着 51:上着 52:セーラー服 53:体操服 54:ビキニトップ 55:ナース服 56:警官制服 57:白衣 58:メイド服
フラグ,45,0
;全身上着 61:和服 62:導師服 63:ワンピース 64:スクール水着 65:バニースーツ 66:ボンテージスーツ 67:着ぐるみ
フラグ,46,63

