番号,51,
名前,すずき つづみ,
呼び名,つづみ,
基礎,0,1800
基礎,1,1300
能力,レズっ気,1
経験,絶頂経験,3
経験,自慰経験,10
素質,処女,
素質,大人しい,
素質,プライド高い,
素質,感情乏しい,
素質,抵抗,
素質,汚臭敏感,
素質,両刀,
素質,魅惑,
素質,CeVIO,
相性,50,200 ;ささら
相性,52,120 ;タカハシ
;服装 0:なし
;特殊1 1:手袋 2:袖 3:羽衣 4:ナースキャップ 5:警官帽 6:ウサ耳バンド 7:パーカー
フラグ,40,0
;特殊2 11:靴下 12:ハイソックス 13:ニーソックス 14:ガーターストッキング 15:パンティストッキング 16:足袋
フラグ,41,0
;下半身下着 21:ドロワーズ 22:パンティ 23:褌 24:トランクス 25:ブリーフ
フラグ,42,22
;上半身下着 31:ブラジャー 32:スポーツブラ 33:さらし
フラグ,43,31
;下半身上着 41:スカート 42:キュロット 43:もんぺ 44:ズボン 45:ブルマ 46:ビキニパンツ
フラグ,44,44
;上半身上着 51:上着 52:セーラー服 53:体操服 54:ビキニトップ 55:ナース服 56:警官制服 57:白衣 58:メイド服
フラグ,45,51
;全身上着 61:和服 62:導師服 63:ワンピース 64:スクール水着 65:バニースーツ 66:ボンテージスーツ 67:着ぐるみ
フラグ,46,0

