番号,54,
名前,ＩＡ -ARIA ON THE PLANETES-,
呼び名,ＩＡ,
基礎,0,2200
基礎,1,2000
能力,Ｃ感覚,1
能力,露出癖,1
能力,歌唱技能,4
経験,自慰経験,1
経験,被写経験,50
経験,歌唱経験,180
素質,処女,
素質,臆病,
素質,大人しい,
素質,プライド低い,
素質,抑圧,
素質,痛みに弱い,
素質,薬毒耐性,
素質,汚臭敏感,
素質,男嫌い,
素質,小悪魔,
素質,魅力,
素質,魅惑,
素質,謎の魅力,
素質,Ｂ鈍感,
素質,貧乳,
素質,人気,
素質,CeVIO,
相性,4,200 ;ゆかり
相性,53,200 ;ＯＮＥ
;服装 0:なし
;特殊1 1:手袋 2:袖 3:羽衣 4:ナースキャップ 5:警官帽 6:ウサ耳バンド 7:パーカー
フラグ,40,2
;特殊2 11:靴下 12:ハイソックス 13:ニーソックス 14:ガーターストッキング 15:パンティストッキング 16:足袋
フラグ,41,12
;下半身下着 21:ドロワーズ 22:パンティ 23:褌 24:トランクス 25:ブリーフ
フラグ,42,22
;上半身下着 31:ブラジャー 32:スポーツブラ 33:さらし
フラグ,43,32
;下半身上着 41:スカート 42:キュロット 43:もんぺ 44:ズボン 45:ブルマ 46:ビキニパンツ
フラグ,44,41
;上半身上着 51:上着 52:セーラー服 53:体操服 54:ビキニトップ 55:ナース服 56:警官制服 57:白衣 58:メイド服
フラグ,45,51
;全身上着 61:和服 62:導師服 63:ワンピース 64:スクール水着 65:バニースーツ 66:ボンテージスーツ 67:着ぐるみ
フラグ,46,0

